Incubation_Center,Name_of_startup,Location of company,Sector
ABES Ghaziabad,Suryansh,New Delhi,EdTech
AIC Banasthali Vidyapith Foundation,Thinkpods Education Services Private Limited (previously That Mate),"Satara, Maharashtra",Ed Tech
AIC Banasthali Vidyapith Foundation,Inventiway Solutions Pvt.Ltd.,"Mumbai, Maharashtra",HR Tech
AIC Banasthali Vidyapith Foundation,C2M Internet India Pvt. Ltd.,"Lucknow, Uttar Pradesh",Retail Tech
AIC Pinnacle Entrepreneurship Forum,Wastinno,"Pune, Maharashtra",agriculture
AIC Pinnacle Entrepreneurship Forum,Diabetico - Rise and Move,"Pune, Maharashtra",Healthcare
AIC Pinnacle Entrepreneurship Forum,3DGuru Innovations,"Pune, Maharashtra",EduTech
AIC Pinnacle Entrepreneurship Forum,Gupte Education,"Pune, Maharashtra","Ed Tech, Defence"
AIC Pinnacle Entrepreneurship Forum,Eldew Digital Pvt Ltd,"Pune, Maharashtra","IT, Virtual Events"
AIC Pinnacle Entrepreneurship Forum,Secumatic Technologies LLP,"Pune, Maharashtra",Defense
AIC Pinnacle Entrepreneurship Forum,Catalystgreen Private Limited,"Pune, Maharashtra",E-Mobility
AIC Pinnacle Entrepreneurship Forum,Dynateq Consulting Pvt.Ltd.,"Pune, Maharashtra",Industril Automation
AIC@36Inc,TECHB,Bhilai,3d printer and cnc manufacturing
AIC@36Inc,Acculegal Services Private Limited,Raipur,"Finance, Legal , consultancy, accounting"
AIC@36Inc,Bastar Se Bazar Tak Private Limited,Uttar Bastar,Agri-business
AIC@36Inc,Coshal Art,Raipur,Handicraft
AIC@36Inc,Jivandeep,Raipur,Healthcare
AIC@36Inc,Binomial Analytics,Raipur,IT and Technology Innovation
AIC@36Inc,Rawfit,Raipur,Heathcare & Wellness
AIC@36Inc,WedNicely,Raipur,eInvitations & Wedding Technology
Amity Technology Incubator,Plabs Solutions Pvt. Ltd.,"Ghaziabad, Uttar Pradesh",Healthtech
Amity University Haryana,nanoLatticeX,"Gurugram, Haryana",nanotechnology
Amity University Haryana,NanoMask (It is our first product. Actual startup name to be revealed soon after trademark registration),"Gurugram, Haryana",Face Mask
Atal Incubation Centre ALEAP We Hub,Neoinventronix Pvt Ltd,"Hyderabad, Telangana",ICT Electronics
Atal Incubation Centre ALEAP We Hub,Binford Research Lab Pvt Ltd,"Hyderabad, Telangana",ICT Electronics
Atal Incubation Centre ALEAP We Hub,Nimaya Robotics Pvt Ltd,"Chennai, Tamilnadu",ICT Electronics
Atal Incubation Centre ALEAP We Hub,Rmatics Solutions LLP,"Hyderabad, Telangana",ICT Electronics
Atal Incubation Centre ALEAP We Hub,Eurth Techtronics Private Limited,"Vijayawada, Andhra Pradesh",ICT Electronics
BEA,Ozzie Technologies,"Kolkata, West Bengal",Information Technologies
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Predible Health Pvt Ltd,"Bengaluru, Karnataka",Healthcare
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Personal Air Quality Systems Private Limited,"Bengaluru, Karnataka","Product designer & Entrepreneur, Innovator, Technologist, Air Quality solutions"
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Salcit Technologies Private Limited,"Hyderabad, Telangana",Digital Health
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),AgSmartic Technologies Pvt Ltd,New Delhi,Agritech
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Aikenist Technologies Pvt Ltd,"Bengaluru, Karnataka",Digital Health
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),ARQ Solution LLP,"Mumbai, Maharashtra",Healthcare
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Xensible Innovation Lab Pvt. Ltd.,"Bengaluru, Karnataka",Digital Health
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Sensai Healthcare Private Limited,"Bengaluru, Karnataka",Digital Health
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Rekindle Automations Pvt Ltd,"Chennai, Tamilnadu",Healthcare
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Hivericks Technologies Pvt Ltd,"Chennai, Tamilnadu",Clean Tech
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,"Chennai, Tamilnadu",Retail CRM
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,"Chennai, Tamilnadu",Healthcare
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Nandha Infotech,"Coimbatore, Tamil Nadu",Agriculture
Chitkara innovation Incubator Foundation,Xovian Aerospace Pvt Ltd,"Bengaluru, Karnataka",Aerospace and defence
Chitkara innovation Incubator Foundation,Dagriation Solutions Pvt Limited,Karnal,IT & Electronics
Chitkara innovation Incubator Foundation,Murph Technologies Pvt Limited,Chandigarh,IOT
Chitkara innovation Incubator Foundation,6DOF Solutions LLP,Chandigarh,AR/VR
Chitkara innovation Incubator Foundation,Hackspace Security Services LLP,"Delhi, Delhi",Healthcare
Chitkara innovation Incubator Foundation,Sustainergic Tech Pvt. Ltd.,Chandigarh,IOT
CIIE Initiatives,GalaxEye,"Chennai, Tamilnadu",Smart infrastructure
CIIE Initiatives,Extrawatts Renewables Pvt Ltd.,New Delhi,Cleantech and Environment
CIIE Initiatives,Urban Air Labs,"Delhi, Delhi",Clean tech
CIIE Initiatives,Nunam Technology India Private Limited,"Bengaluru, Karnataka",Cleantech
CIIE Initiatives,Kidaura,"Nashik , Maharashtra",Healthcare
CIIE Initiatives,Aiborne Tech,"Delhi, Delhi",Skilling & Edtech
CIIE Initiatives,Pacify Medical,"Mumbai, Maharashtra",Healthcare
CIIE Initiatives,Evoluto,"Bengaluru, Karnataka",Healthcare
CIIE Initiatives,Redicine Medsol,"Ahmedabad, Gujarat",Healthcare
CIIE Initiatives,Minocular,Raipur,Smart infrastructure / Mining
CIIE Initiatives,Godaam Innovations Pvt. Ltd.,"Nashik , Maharashtra",Agritech
CIIE Initiatives,Articulus Surgical,"Bengaluru, Karnataka",Healthcare
CTIE,Encephalon Solutions,"Hubli, Karnataka",Medical
DERBI Foundation,Backyard Creators Pvt Ltd,Madhurai,Healthcare
DERBI Foundation,Machphy Solutions,Bhubaneswar,Healthcare
DERBI Foundation,Fititout Solutions,"Chennai, Tamilnadu",Healthcare
DERBI Foundation,Carbon Hubs Private Limited,"Bengaluru, Karnataka",Clean and Health Tech
DERBI Foundation,Prayasta 3D Inventions Private Limited,"Bengaluru, Karnataka",Healthcare
DERBI Foundation,Acculi Labs Pvt Ltd.,"Bengaluru, Karnataka",Healthcare
DERBI Foundation,Hinnts Consultancy Services Private Limited,"Bengaluru, Karnataka",Healthcare
FIRST SIIC IIT Kanpur,WeRehab Technologies Pvt. Ltd.,"Kanpur, Uttar Pradesh",Health Tech
FIRST SIIC IIT Kanpur,Campus Haat Solutions Pvt Ltd,"Kanpur, Uttar Pradesh",Social Commerce
"FITT, IIT Delhi",Dweepi Innovations Pvt Ltd,Visakhapatnam,"Railways, transportation"
"FITT, IIT Delhi",Trydan Motors Private Limited,New Delhi,E-mobility
"FITT, IIT Delhi",Let's Farm (Shvaas Sustainable Solutions Private Limited),"Jaipur, Rajasthan",Agri-Tech
"FITT, IIT Delhi",Ambrosius Tech Pvt. Ltd.,"Satara, Maharashtra",EdTech
"FITT, IIT Delhi",Materate Education Pvt Ltd,New Delhi,Education
"FITT, IIT Delhi",Neem Tree Agro Solutions Private Limited,"Delhi, Delhi",AgriTech
"FITT, IIT Delhi",MeuKron Technologies,"Belagavi, Karnataka",Healthcare
"FITT, IIT Delhi",NextLeap Aeronautics Pvt Ltd,"Bengaluru, Karnataka","Aerospace, UAV, Drones, Defence"
"FITT, IIT Delhi",Andromeida Maritime Solutions Pt. Ltd.,"Gurugram, Haryana",Robotics
"FITT, IIT Delhi",Ominar Innovations,"Pune, Maharashtra",Digital Health helathcare
Forge (Coimbatore Innovation and Business Incubator),BigDipper Exploration Technologies,"Delhi, Delhi",Space Tech
Forge (Coimbatore Innovation and Business Incubator),Abhaya Information Technology,"Mumbai, Maharashtra",Digital Health Tech
Forge (Coimbatore Innovation and Business Incubator),TestedOK Technologies,"Coimbatore, Tamil Nadu",Industrial Digital Transformation
Forge (Coimbatore Innovation and Business Incubator),PQSI Digital,"Chennai, Tamilnadu",Industry Digital Transformation (Manufacturing Industries)
Forge (Coimbatore Innovation and Business Incubator),Torus Robotics Pvt Ltd,"Chennai, Tamilnadu",Future Mobility
Forge (Coimbatore Innovation and Business Incubator),ExactSpace Technologies,"Bengaluru, Karnataka","Industrial Digital Transformation (Energy Sector, Process Industries)"
Forge (Coimbatore Innovation and Business Incubator),Aindra Systems,"Bengaluru, Karnataka",Digital Health Tech
Forge (Coimbatore Innovation and Business Incubator),Blackfrog Technologies,"Manipal, Karnataka",Digital Health Tech
Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Yarev Technology Pvt. Ltd.,Rourkela,IoT
Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Clavictor Academy Private Limited,Rourkela,Education Technology
Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Coratia Technologies,Rourkela,Robotics
Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Quidle Enterprise,Rourkela,IoT and consumer products
Grameena Incubation Center,Transity,"Chennai, Tamilnadu",Agri-Supply Chain
Grameena Incubation Center,TraceX,"Bengaluru, Karnataka",Block chain
Grameena Incubation Center,"""Temperate Technologies""","Hyderabad, Telangana",Cold Storage Solutions
Gujarat University Startup and Entrepreneurship Council (GUSEC),Multplyr,"Ahmedabad, Gujarat",Enterprise Solution
Gujarat University Startup and Entrepreneurship Council (GUSEC),Quixote Automotive Technologies Pvt Ltd,"Ahmedabad, Gujarat",AI/ML
Gujarat University Startup and Entrepreneurship Council (GUSEC),Plutomen Technologies Pvt Ltd,"Ahmedabad, Gujarat",VR/AR/MR/XR
Gujarat University Startup and Entrepreneurship Council (GUSEC),IEIDidactics LLP,Vadodara,Education
Gujarat University Startup and Entrepreneurship Council (GUSEC),UrbanKHET,"Ahmedabad, Gujarat",Agriculture
Gujarat University Startup and Entrepreneurship Council (GUSEC),E-Vega Mobility Labs,"Ahmedabad, Gujarat",Clean Energy
Gujarat University Startup and Entrepreneurship Council (GUSEC),microfinance.ai - Uthaan Technologies Pvt Ltd,"Delhi, Delhi",Financial Inclusion
Gujarat University Startup and Entrepreneurship Council (GUSEC),Waste Tracker - Towaso Pvt ltd,Jamshedpur,Environment
IIIT B Innovation Centre,DeepVisionTech Pvt. Ltd.,"Bengaluru, Karnataka","Multiple (Assistive Tech) - Education, B2C, B2B, B2G"
IIIT B Innovation Centre,Breezy,"Bengaluru, Karnataka","Environment, Technology"
IIIT B Innovation Centre,HAVELI UAVs,"Bengaluru, Karnataka","Skill Development, Agri-Tech, Drones"
IIITD Innovation & Incubation Center,Tweek Labs Pvt Ltd,New Delhi,AI & IOT
IIITD Innovation & Incubation Center,Shasmith Technologies Pvt Ltd,New Delhi,Health Technology
IIITD Innovation & Incubation Center,Eleqtrasoft Education Pvt Ltd,New Delhi,Education Technology
IIITD Innovation & Incubation Center,Fin Lit Project Services Pvt Ltd,"Lucknow, Uttar Pradesh",Education Technology
IIITD Innovation & Incubation Center,ShikshAI Pvt Ltd,"Kolkata, West Bengal",Education Technology
IIITD Innovation & Incubation Center,Swapeco Solutions Pvt Ltd,New Delhi,Waste Management
IIITD Innovation & Incubation Center,Embedsense Solutions Pvt Ltd,"Bengaluru, Karnataka",Manufacturing IOT Sensors
IIM Udaipur Incubation Centre,Yobny Technology Solution Pvt Ltd,"Bengaluru, Karnataka",multi-sector (B2B SaaS)
IIM Udaipur Incubation Centre,Statlogic India Pvt Ltd,"Bengaluru, Karnataka",Agritech
IIM Udaipur Incubation Centre,Arktane Technologies Private Limited,"Noida, Uttar Pradesh",Aviation
IIT Kanpur,Arthavedika Tech Pvt Ltd,"Noida, Uttar Pradesh",Fintech
IIT Mandi Catalyst,Datalytics Technologies Private Limited,"Nagpur, Maharashtra",Business Intellegence Tool
IIT Mandi Catalyst,Elight SPM OPC Pvt Ltd.,New Delhi,Dronetech
IIT Mandi Catalyst,DatumM Tech-Solutions,"Kangra, HP",Medical Devices
IIT Mandi Catalyst,IntelVib,"DIAT,Pune",Manufacturing
IIT Mandi Catalyst,Farm Intelligent Systems,"Pune, Maharashtra","Agri Tech, Robotics,"
IIT Mandi Catalyst,Coding Made Easy,Warangal,Information Technology
IIT Mandi Catalyst,ECOC,Warangal,Electric Bicycles
IITM Incubation Cell,ISMO Biophotonics Private Limited,"Chennai, Tamilnadu",Biotech/ Bio-informatics
IITM Incubation Cell,C3 Medtech Private Limited,"Chennai, Tamilnadu",Healthcare
IITM Incubation Cell,Dextroware Devices Private Limited,"Chennai, Tamilnadu",Healthcare
IITM Incubation Cell,InuAid Solutions Private Limited,"Chennai, Tamilnadu",Artificial Intelligence / Machine Learning / IOT / Cloud
IITM Incubation Cell,Revoh Innovations Private limited,"Chennai, Tamilnadu",Infra and Transportation
IITM Incubation Cell,Good Move Logistics & Transport Private limited,"Chennai, Tamilnadu",Logistics
INurture Incubation Foundation,Hawaiadda Aerial Innovations Private Limited,"Ghaziabad, Uttar Pradesh",Aerospace & Defence
JECRC Incubation Centre,Botnomics Techrola India Pvt. Ltd.,"Hyderabad, Telangana",Information Technology
JECRC Incubation Centre,Aloe Ecell Pvt. Ltd.,"Lucknow, Uttar Pradesh",Energy
JECRC Incubation Centre,Dexterio,"Jaipur, Rajasthan",ICT
JECRC Incubation Centre,Retail Setu,Singrauli (MP),Ecommerce
JECRC Incubation Centre,Show-U,Udaipur,ICT
JECRC Incubation Centre,Repobuild IT Solutions Pvt. Ltd.,"Jaipur, Rajasthan",HR
JECRC Incubation Centre,ED Apply Pvt. Ltd.,"Jaipur, Rajasthan",EdTech
JECRC Incubation Centre,Puaerte Visual,"Jaipur, Rajasthan",Design Tech
KLE CTIE,Astr Tactical Private Limited,"Hubli, Karnataka",Tactical Products
"Koneru Lakshmaiah Technology Incubators Foundation (KLTIF) - Center for Innovation,Incubation & Entrepreneurship (CIIE)",MILATRONICS PRIVATE LIMITED,"MUDAVADIBBA,Andhra Pradesh",AGRICULTURE
"Koneru Lakshmaiah Technology Incubators Foundation (KLTIF) - Center for Innovation,Incubation & Entrepreneurship (CIIE)",Uplink-Automation Private Limited,"Vijayawada, Andhra Pradesh",IoT- manufacturing & consumer electronics
"Koneru Lakshmaiah Technology Incubators Foundation (KLTIF) - Center for Innovation,Incubation & Entrepreneurship (CIIE)",Seeram Innovations Pvt. Ltd.,"Tadepalli, Andhra Pradesh",Manufacturing
"Koneru Lakshmaiah Technology Incubators Foundation (KLTIF) - Center for Innovation,Incubation & Entrepreneurship (CIIE)",CHEMSENS Technologies private limited,"Vijayawada, Andhra Pradesh",Healthcare
Krishna Path Incubation Society- TBI KIET,Quest educational technologies LLP,"Ghaziabad, Uttar Pradesh",Edutech
Krishna Path Incubation Society- TBI KIET,MOTS Private Limited,"Fatehpur, Uttar Pradesh",Travel
Krishna Path Incubation Society- TBI KIET,FARMOCONNECT LLP TECHNOLOGIES,"Ghaziabad, Uttar Pradesh",Agritech
Krishna Path Incubation Society- TBI KIET,ANI SCRAP PVT LTD,"Ghaziabad, Uttar Pradesh",WASTE MANAGEMENT
Krishna Path Incubation Society- TBI KIET,Dineo,"Jaipur, Rajasthan",IT
Krishna Path Incubation Society- TBI KIET,Bhurak Technologies Pvt. Ltd.,"Saharanpur, Uttar Pradesh",A.I. (Computer Vision)
"NSRCEL, IIM Bangalore",MedPiper Technologies Pvt Ltd,"Bengaluru, Karnataka",Healthtech
"NSRCEL, IIM Bangalore",(Solvio) Curious Bee Innovations Private Limited,"Bengaluru, Karnataka",Education Technology
Pilani Innovation and Entrepreneurship Development Centre,Nawgati,"Gurugram, Haryana",Mobility
Pilani Innovation and Entrepreneurship Development Centre,Adnue,Jodhpur,Advertising Technology
Pilani Innovation and Entrepreneurship Development Centre,Medsupervision,Faridabad,Healthcare
Pilani Innovation and Entrepreneurship Development Centre,Nirogyan,New Delhi,Healthcare
Pilani Innovation and Entrepreneurship Development Centre,Valerio Electric,New Delhi,Electric Vechiles
Pilani Innovation and Entrepreneurship Development Centre,Syzygy,"Jaipur, Rajasthan",Healthcare
Pilani Innovation and Entrepreneurship Development Centre,Urbantrack,Pilani,Urban Transportation
Pilani Innovation and Entrepreneurship Development Centre,Greynight,"Bengaluru, Karnataka",Space Tech
Pilani Innovation and Entrepreneurship Development Centre,Finquant,Hazartganj,MicroFinance
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Dot World Technologies,"Coimbatore, Tamil Nadu",Robotics / Automation
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Agna Inc,"Coimbatore, Tamil Nadu",Bio Medical
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Embedded Shastra Solutions,"Coimbatore, Tamil Nadu",Edutech /
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Mechcreatio Industrial Solutions,"Coimbatore, Tamil Nadu",Agritech
PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Switch Mobility Private Limited,"Bengaluru, Karnataka",Electronics
Sandip Incubation Centre Nashik,Duende Ingenious LLP,"Nashik , Maharashtra",Rural Development
Sandip Incubation Centre Nashik,Management Forum,"Nashik , Maharashtra",Infotech
Sandip Incubation Centre Nashik,Payveb Resources Pvt.Ltd,"Nashik , Maharashtra","IT, IoT, Retail, eCommerce & Fintech"
Sandip Incubation Centre Nashik,Drishte,"Hyderabad, Telangana",Ai
"SIIC, IIT Kanpur",PATS Literary Solutions (P) Ltd,"Kanpur, Uttar Pradesh","Education, Media & Entertainment"
SIIC,Hacklab Solutions Private Limited,"Bengaluru, Karnataka",Industrial Automation
SIIC,Airth Research Private Limited,"Delhi, Delhi",Healthcare
"SIIC, IIT Kanpur",E-Trainer Analytics Wizard Pvt ltd,New Delhi,Fit-Tech
"SIIC, IIT Kanpur",Invariance Automation Private Limited,"Kanpur, Uttar Pradesh",Industrial Automation
"SIIC, IIT Kanpur",Neoperk Technologies Pvt. Ltd.,"Mumbai, Maharashtra",Agri-Tech - Soil Testing
"SIIC, IIT Kanpur",WeRehab Technologies Pvt Ltd,"Nagpur, Maharashtra",Health tech
"SIIC, IIT Kanpur",Life and Limb (P) Ltd,"Kanpur, Uttar Pradesh",Health-Tech
"SIIC, IIT Kanpur",Offgrid EnergyLabs,"Kanpur, Uttar Pradesh",Clean Energy
"SIIC, IIT Kanpur",?GeoWiz Consultancy Pvt. Ltd,"Kanpur, Uttar Pradesh",Geospatial data services
"SIIC, IIT Kanpur",E-Trainer Analytics Wizard Pvt. Ltd (Fitbuddy),New Delhi,Fit-Tech
"SIIC, IIT Kanpur",Reolo Holographics Pvt LTD,"Ahmedabad, Gujarat",AR/VR
"SIIC, IIT Kanpur",WUS ( Product of Pradivya Software Pvt Ltd),"Panchkula, Haryana, India,","""Low Income Workers"" Empowerment"
"SIIC, IIT Kanpur",Cycle spirit Pvt Ltd,"Kanpur, Uttar Pradesh",Electric vehicles
"SIIC, IIT Kanpur",ClaitoVision Tecnologies Pvt Ltd,"Thane, Maharashtra",Health and FItness
"SIIC, IIT Kanpur",WeRehab Technologies Pvt Ltd,"Kanpur, Uttar Pradesh",Healthtech
"SIIC, IIT Kanpur",CASHYEAR,"Lucknow, Uttar Pradesh",FINTECH
"SIIC, IIT Kanpur",InvoViron Industries Trading Pvt Ltd,"Kanpur, Uttar Pradesh",Waste to Value (Bioplastics and Polymer Recycling)
"SIIC, IIT Kanpur",HINDONICS TECHNOLOGIES PRIVATE LIMTIED,Gorakhpur,Hardware Technology
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Ixar Robotic Solution,"Mumbai, Maharashtra",Under water vehcle
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Micob Private Limited,Gandhinagar,Construction
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Udayan Ecotech Pvt Ltd.,"Pune, Maharashtra",EV
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Incorporation yet to be done,NA,EduTech
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Bramhansh Technologies Pvt Ltd,Chattisgarh,Healthcare
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Clairvoyance Mindware Pvt Ltd,"Pune, Maharashtra",Healthcare
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Chainworks Digital Private Limited,"Mumbai, Maharashtra",Healthcare
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Whiteowl Healthcare Private Limited,"Hyderabad, Telangana",Healthcare
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Faucet Labs Private Limited,"Delhi, Delhi",FinTech
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Develop Train Maintain Llp,Ulhasnagar,CleanTech
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Incorporation yet to be done,NA,EduTech
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Cre-Aid Labs Pvt Ltd,"Bengaluru, Karnataka",Healthcare
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Mclabs Pvt Ltd,"Mumbai, Maharashtra",Communications
SR Foundation (SR Innovation Exchange),MHfictio Creations PVT LTD,Warangal,ICT & IoT
SR Foundation (SR Innovation Exchange),Varaha Innovation Studios and Technologies Pvt Ltd,"Hyderabad, Telangana",RetailTech
SR Foundation (SR Innovation Exchange),GARUDAASTRA Aeroinventive Solutions Private Limited,"Begumpet, Hyderabad, Telangana",Aerospace and Defense
SR Foundation (SR Innovation Exchange),Cloudchip Technologies Private Limited,"Hyderabad, Telangana",Information and Communication Technology
SR Foundation (SR Innovation Exchange),Viben QR Innovations,Warangal,Services
SR Foundation (SR Innovation Exchange),WarrantyMe,"Hyderabad, Telangana",Retail tech
SR Foundation (SR Innovation Exchange),Youcode Intelligence Solutions,"Chennai, Tamilnadu",EDTECH
STEP - TIET Patiala,Monsys IoT,Patiala,Electronics and Waste water
STEP - TIET Patiala,Cruxeware Technologies LLP,"Saharanpur, Uttar Pradesh",Technology(AI)
STEP - TIET Patiala,Roschcrete Technologies Private Limited,"Jalandhar City, Punjab",Construction / Smart City
STEP - TIET Patiala,Minus Zero Robotics Private Limited,Patiala,Autonomous Vehicles (AI & Robotics)
STEP - TIET Patiala,Tensor Matics Pvt Ltd,Tensor Matics Pvt Ltd,AI - ML
TIDES Business Incubator IIT Roorkee,NANOAI TECHNOLOGY,"TIDES Business Incubator, IIT Roorkee",Embedded Electronics
TIDES Business Incubator IIT Roorkee,ThermoPV solar private limited,"Delhi, Delhi",Renewable energy(Solar)
TIDES Business Incubator IIT Roorkee,Virbhadra Implants Private Limited,Dehradun,Medical Device
TIDES Business Incubator IIT Roorkee,Fermentech Labs Pvt. Ltd.,Roorkee,Biotechnology
TIDES Business Incubator IIT Roorkee,Powerzest Energy Solutions Pvt ltd,"Mumbai, Maharashtra",Renewable Energy
TIDES Business Incubator IIT Roorkee,UNIURJA PRIVATE LIMITED,"PATNA, BIHAR",RENEWABLE ENERGY
TIDES Business Incubator IIT Roorkee,Raikamal Bhattacharya,IIT Roorkee,Bioprocess and agriculture
TIDES Business Incubator IIT Roorkee,Biofluidics Innovation Pvt. Ltd,Roorkee,Healthcare
"TIIC, ABV-IIITM, Gwalior",Identifying privacy risks due to contact tracing during COVID-19 and their mitigation,Gwalior,IT/Modeling
"TIIC, ABV-IIITM, Gwalior",IOT Based Smart Device to Implement Gesture Keyboard in the Light of COVID-19 Disease,Gwalior,IOT
"TIIC, ABV-IIITM, Gwalior",Virtual Lab on Data Structure and Algorithms,GWALIOR,AI
"TIIC, ABV-IIITM, Gwalior",Development of IOT Based Smart isolation/ Quarantine Center to combat COVID-19,Gwalior,IOT
"TIIC, ABV-IIITM, Gwalior",SehatOne ï¿½ Comprehensive Medical Analysis for Organizations,Gwalior,Healthcare
Vel Tech Technology Incubator,DHE4 Ventures Private Limited,"Chennai, Tamilnadu",Healthcare
Vel Tech Technology Incubator,Kittivasal Technologies OPC Pvt Ltd,"Chennai, Tamilnadu",ITES
Vel Tech Technology Incubator,Mirai Research Solutions,"Chennai, Tamilnadu",Energy
Vel Tech Technology Incubator,SMBSURE BUSINESS SOLUTIONS PVT LTD,"Chennai, Tamilnadu",IoT
VITTBI,Alfaleus Technology Private Limited,"Bengaluru, Karnataka",Medtech
VITTBI,MR.Abhishek Kumar - company not incorporated (EiR -Foreclosed as of April 2021),Indore,IoT
VITTBI,Egarden Pvt Ltd,"Chennai, Tamilnadu",Agri tech
VITTBI,RIVER RBEND DATA SOLUTIONS Pvt. Ltd,"Hyderabad, Telangana",Artificial intellegence - Health/MedTech
VITTBI,GREEN DOMAIN ENERGY SOLUTIONS (yet to incorporate),Kahalgaon Bihar,IOT based Renewable Energy management System
VITTBI,Movio Technologies Pvt. Limited,Chattisgarh,EV
VITTBI,TeraLumen Solutions Pvt. Ltd.,"Chennai, Tamilnadu",Medical Diagnostics and NDT
VITTBI,Fat Cat Robotics Pvt Ltd,"Pune, Maharashtra",IoT
VITTBI,ThoughtBit Technologies Pvt Ltd,"Chennai, Tamilnadu",Fintech
VITTBI,Okulo Aerospace Private Limited,"Bengaluru, Karnataka","Aerospace & Defense, Robotics, AI & ML"
